Close,ATR,H1_Close,H1_EMA,RSI_Z,MACD_line_Z,MACD_hist_Z,ADX_Z,stoch_k_Z,stoch_d_Z,H1_RSI_Z,H1_ADX_Z,upper_wick_Z,lower_wick_Z,body_size_Z,hour_sin,hour_cos,day_sin,day_cos,timestamp
1.15555,0.00023323939,1.15578,1.155351,0.06349842,-0.321699,-0.35438558,-1.1025902,0.19012009,0.23102641,1.3717917,-1.45735,-0.58218235,-0.371233,0.10036068,0.99766874,-0.068242416,0.0,1.0,2025-11-10 14:22:42.167059
1.1556,0.00022800801,1.15578,1.155351,0.2586348,-0.29214683,-0.19079071,-1.058831,0.39877185,0.54873127,1.3236482,-1.4226305,-0.382189,0.32447696,-0.7108471,0.99766874,-0.068242416,0.0,1.0,2025-11-10 14:22:42.167059
1.15556,0.00022672172,1.15578,1.155351,0.015700748,-0.30549297,-0.12950666,-1.0480095,0.19516322,0.28172445,1.2795199,-1.3949809,-0.4989698,1.1960847,-0.6150781,0.99766874,-0.068242416,0.0,1.0,2025-11-10 14:22:42.167059
1.15567,0.00022409874,1.15578,1.155351,0.5155715,-0.24692886,0.009101708,-0.9973783,0.6744947,0.4556038,1.2392267,-1.3755386,-0.15843755,-0.43971384,-0.23973982,0.99766874,-0.068242416,0.0,1.0,2025-11-10 14:22:42.167059
1.15578,0.00021594882,1.15578,1.155351,0.9655747,-0.11902848,0.18631263,-0.91836834,1.1293571,0.7203562,1.2027177,-1.3663534,-0.9242333,-1.1582764,-0.2443654,0.99766874,-0.068242416,0.0,1.0,2025-11-10 14:22:42.167059
1.15582,0.0002155239,1.15603,1.1553777,1.1045804,0.025593264,0.32174498,-0.7564319,0.9408865,0.9853784,2.3920481,-2.7320182,1.4782156,-0.040859014,-0.9197422,0.99766874,-0.068242416,0.0,1.0,2025-11-10 14:22:42.167059
1.15607,0.00022298649,1.15603,1.1553777,1.9398386,0.37093043,0.6265815,-0.5318315,1.2607421,1.192194,2.2717228,-2.6572275,0.2539338,-1.1121569,0.781058,0.99766874,-0.068242416,0.0,1.0,2025-11-10 14:22:42.167059
1.15588,0.00022420174,1.15603,1.1553777,0.8315907,0.4680595,0.60656273,-0.30835184,0.6152201,1.0061687,2.1233118,-2.4683287,-0.25720927,-1.1042817,0.5063497,0.99766874,-0.068242416,0.0,1.0,2025-11-10 14:22:42.167059
1.15591,0.00021818733,1.15603,1.1553777,0.9280502,0.55787367,0.59102297,-0.19292918,0.6785425,0.9116612,1.9958549,-2.312087,-0.93687016,1.0591248,-0.7885489,0.99766874,-0.068242416,0.0,1.0,2025-11-10 14:22:42.167059
1.15607,0.00022117395,1.15603,1.1553777,1.4512541,0.76453674,0.71399295,0.00640103,1.1994553,0.89212984,1.8846629,-2.180378,-0.9118404,0.20517436,0.41773516,0.99766874,-0.068242416,0.0,1.0,2025-11-10 14:22:42.167059
1.15603,0.0002110901,1.15603,1.1553777,1.1971136,0.8616589,0.7126367,0.22996247,1.0171821,1.0339768,1.7864105,-2.0678005,-0.54754883,-0.9346832,-0.5768219,0.99766874,-0.068242416,0.0,1.0,2025-11-10 14:22:42.167059
